Area_profesional;Puesto;Sector;Tipo_rango;Zona;Valor;Dolar_Promedio_Mes
dirección.;Director comercial;Banca & Serv Financieros;Min;Litoral-Centro;$9.721.019;1284
dirección.;Director comercial;Banca & Serv Financieros;Max;Litoral-Centro;$14.570.082;1284
dirección.;Director comercial;Consumo masivo;Min;Litoral-Centro;$8.640.905;1284
dirección.;Director comercial;Consumo masivo;Max;Litoral-Centro;$12.272.233;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Min;Litoral-Centro;$9.721.037;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Max;Litoral-Centro;$14.570.082;1284
dirección.;Director comercial;IT;Min;Litoral-Centro;$9.721.011;1284
dirección.;Director comercial;IT;Max;Litoral-Centro;$14.570.082;1284
dirección.;Director comercial;Lab & Pharma;Min;Litoral-Centro;$9.721.018;1284
dirección.;Director comercial;Lab & Pharma;Max;Litoral-Centro;$14.570.082;1284
dirección.;Director comercial;Manufactura;Min;Litoral-Centro;$9.291.296;1284
dirección.;Director comercial;Manufactura;Max;Litoral-Centro;$14.188.742;1284
dirección.;Director comercial;Retail & Comercio;Min;Litoral-Centro;$8.640.907;1284
dirección.;Director comercial;Retail & Comercio;Max;Litoral-Centro;$12.272.235;1284
dirección.;Director comercial;Servicios;Min;Litoral-Centro;$8.641.728;1284
dirección.;Director comercial;Servicios;Max;Litoral-Centro;$12.272.230;1284
dirección.;Director comercial;Transporte y logística;Min;Litoral-Centro;$8.640.864;1284
dirección.;Director comercial;Transporte y logística;Max;Litoral-Centro;$12.272.238;1284
dirección.;Director comercial;Automotriz;Min;NEA;$9.581.649;1284
dirección.;Director comercial;Automotriz;Max;NEA;$14.632.140;1284
dirección.;Director comercial;Banca & Serv Financieros;Min;NEA;$10.024.801;1284
dirección.;Director comercial;Banca & Serv Financieros;Max;NEA;$15.025.397;1284
dirección.;Director comercial;Consumo masivo;Min;NEA;$8.910.933;1284
dirección.;Director comercial;Consumo masivo;Max;NEA;$12.655.740;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Min;NEA;$10.024.819;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Max;NEA;$15.025.397;1284
dirección.;Director comercial;IT;Min;NEA;$10.024.793;1284
dirección.;Director comercial;IT;Max;NEA;$15.025.397;1284
dirección.;Director comercial;Lab & Pharma;Min;NEA;$10.024.800;1284
dirección.;Director comercial;Lab & Pharma;Max;NEA;$15.025.397;1284
dirección.;Director comercial;Manufactura;Min;NEA;$9.581.649;1284
