Area_profesional;Puesto;Sector;Tipo_rango;Buenos Aires;Cuyo;Litoral-Centro;NEA;NOA;Patagonia;Dolar_Promedio_Mes
dirección.;Director de marketing;Banca & Serv Financieros;Max;$17.667.509;$15.547.408;$14.134.007;$14.575.695;$15.017.383;$22.084.386;1284
dirección.;Director de marketing;Consumo masivo;Min;$10.379.545;$9.134.000;$8.303.636;$8.563.125;$8.822.613;$12.974.431;1284
dirección.;Director de marketing;Consumo masivo;Max;$13.710.504;$12.065.244;$10.968.403;$11.311.166;$11.653.928;$17.138.130;1284
dirección.;Director de marketing;Gas, Petróleo y Minería;Min;$11.676.989;$10.275.750;$9.341.591;$9.633.516;$9.925.441;$14.596.236;1284
dirección.;Director de marketing;Gas, Petróleo y Minería;Max;$17.667.516;$15.547.414;$14.134.013;$14.575.701;$15.017.389;$22.084.395;1284
dirección.;Director de marketing;IT;Min;$11.676.989;$10.275.750;$9.341.591;$9.633.516;$9.925.441;$14.596.236;1284
dirección.;Director de marketing;IT;Max;$17.667.549;$15.547.443;$14.134.039;$14.575.728;$15.017.417;$22.084.436;1284
dirección.;Director de marketing;Lab & Pharma;Min;$11.676.989;$10.275.750;$9.341.591;$9.633.516;$9.925.441;$14.596.236;1284
dirección.;Director de marketing;Lab & Pharma;Max;$17.667.473;$15.547.376;$14.133.978;$14.575.665;$15.017.352;$22.084.341;1284
dirección.;Director de marketing;Manufactura;Min;$11.160.802;$9.821.506;$8.928.642;$9.207.662;$9.486.682;$13.951.003;1284
dirección.;Director de marketing;Manufactura;Max;$17.204.939;$15.140.346;$13.763.951;$14.194.075;$14.624.198;$21.506.174;1284
dirección.;Director de marketing;Retail & Comercio;Min;$10.379.486;$9.133.948;$8.303.589;$8.563.076;$8.822.563;$12.974.358;1284
dirección.;Director de marketing;Retail & Comercio;Max;$13.710.517;$12.065.255;$10.968.414;$11.311.177;$11.653.939;$17.138.146;1284
dirección.;Director de marketing;Servicios;Min;$10.379.486;$9.133.948;$8.303.589;$8.563.076;$8.822.563;$12.974.358;1284
dirección.;Director de marketing;Servicios;Max;$13.710.517;$12.065.255;$10.968.414;$11.311.177;$11.653.939;$17.138.146;1284
dirección.;Director de marketing;Transporte y logística;Min;$9.860.512;$8.677.251;$7.888.410;$8.134.922;$8.381.435;$12.325.640;1284
dirección.;Director de marketing;Transporte y logística;Max;$13.024.991;$11.461.992;$10.419.993;$10.745.618;$11.071.242;$16.281.239;1284
